Simbolo,N,Volumen_acum,Volumen,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
AXSUSDT,480,5202986.48,5167.03,"['N/A', 'N/A', 'N/A']",89,5,94.38,"[('Bajista', 1), ('Alcista', 18), ('Alcista', 28)]",0,0,0,0,16,2.441,2.568,2.459,6.91,3.46,3.4566897112647403,83,91,2025-09-19 15:14:59.999,2.443,2025-09-19 15:44:59.999,2.465,Bajista,50,Bajista,77,69.56521739130402,74.72463768115931,1.0,Neutro
STRAXUSDT,480,47460875.0,43498.0,"['N/A', 'Estrella_Fug', 'N/A']",60,2,96.67,"[('Alcista', 27), ('Alcista', 73)]",0,0,0,0,12,0.04317,0.04415,0.04321,3.59,1.11,2.4762786392038914,90,99,2025-09-19 13:14:59.999,0.04317,2025-09-19 15:29:59.999,0.04325,Bajista,51,Bajista,29,28.571428571427155,26.190476190474996,1.0,Neutro
ROSEUSDT,480,865272120.9000001,642164.9,"['N/A', 'N/A', 'N/A']",83,6,92.77,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 49)]",0,0,0,0,28,0.02936,0.03126,0.03034,6.16,10.02,3.856295319709935,101,95,2025-09-19 15:14:59.999,0.02982,2025-09-19 15:44:59.999,0.03057,Bajista,1,Alcista,15,69.33333333333323,81.90424779898467,3.0,Sobre-compra-D
AVAUSDT,480,7809648.600000001,1925.1,"['N/A', 'N/A', 'N/A']",120,5,95.83,"[('Bajista', 1), ('Alcista', 19), ('Alcista', 20)]",0,1,0,1,16,0.5469,0.59,0.5511,8.87,4.61,4.264198874977291,100,101,2025-09-19 15:14:59.999,0.5458,2025-09-19 14:29:59.999,0.5505,Bajista,28,Bajista,30,73.61111111111128,57.87037037037044,4.0,Neutro
SKLUSDT,480,502155431.0,30403.0,"['N/A', 'N/A', 'N/A']",80,1,98.75,"[('Alcista', 73)]",0,0,0,0,16,0.02656,0.02759,0.0268,6.34,1.01,5.3358208955223905,103,104,2025-09-19 15:14:59.999,0.0266,2025-09-19 15:44:59.999,0.02684,Bajista,67,Alcista,3,83.33333333333405,83.33333333333358,3.0,Sobre-compra
GRTUSDT,480,168864470.0,159263.0,"['N/A', 'Cuerpo_Lleno', 'N/A']",73,3,95.89,"[('Bajista', 1), ('Alcista', 18), ('Alcista', 73)]",0,0,0,0,16,0.0927,0.0974,0.0935,6.84,2.25,4.5989304812834195,66,65,2025-09-19 15:14:59.999,0.0927,2025-09-19 14:59:59.999,0.0935,Bajista,51,Alcista,2,88.88888888888854,88.88888888888856,2.0,Sobre-compra
JUVUSDT,480,7472155.45,20664.4,"['Cuerpo_Lleno', 'N/A', 'Cuerpo_Lleno']",54,1,98.15,"[('Alcista', 8)]",0,0,0,0,15,1.135,1.189,1.141,4.56,1.23,3.330411919368977,72,75,2025-09-19 12:14:59.999,1.155,2025-09-19 15:14:59.999,1.148,Bajista,1,Bajista,10,0.0,1.4814814814814634,10.0,Sobre-venta
PSGUSDT,480,1697818.4,9057.32,"['N/A', 'N/A', 'Doji']",41,0,100.0,[],0,0,0,0,27,1.616,1.654,1.639,2.62,2.81,0.18303843807200249,66,87,2025-09-19 13:59:59.999,1.618,2025-09-19 14:14:59.999,1.63,Alcista,3,Alcista,3,83.99999999999993,79.91919191919168,1.0,Sobre-compra-K
1INCHUSDT,480,25728011.8,14466.1,"['N/A', 'N/A', 'N/A']",105,8,92.38,"[('Bajista', 1), ('Alcista', 18), ('Alcista', 28)]",0,0,0,0,27,0.255,0.2667,0.2564,6.44,2.3,4.134165366614642,86,84,2025-09-19 15:14:59.999,0.255,2025-09-19 14:44:59.999,0.257,Bajista,64,Bajista,80,56.00000000000045,54.666666666666515,3.0,Neutro
OGUSDT,480,6252697.3,5339.2,"['N/A', 'N/A', 'N/A']",65,4,93.85,"[('Bajista', 38), ('Bajista', 51), ('Bajista', 108)]",0,0,0,0,12,14.495,16.7,16.388,8.34,19.87,11.538930925067133,108,109,2025-09-19 15:44:59.999,16.308,2025-09-19 15:14:59.999,16.519,Alcista,64,Alcista,1,50.9433962264154,51.25786163522026,19.0,Neutro
ATMUSDT,480,14913203.27,13320.17,"['N/A', 'N/A', 'N/A']",72,0,100.0,[],0,0,0,0,16,1.344,1.542,1.419,8.67,8.1,0.5637773079633543,80,91,2025-09-19 15:44:59.999,1.402,2025-09-19 15:14:59.999,1.44,Alcista,70,Alcista,1,20.769230769230855,17.09401709401715,9.0,Sobre-venta-D
ASRUSDT,480,3903321.4000000004,19680.3,"['N/A', 'N/A', 'N/A']",110,3,97.27,"[('Bajista', 0), ('Bajista', 1), ('Bajista', 2)]",0,0,0,0,11,2.421,2.57,2.516,2.15,4.45,2.3052464228934926,96,99,2025-09-19 14:59:59.999,2.463,2025-09-19 14:29:59.999,2.514,Alcista,18,Alcista,4,49.532710280373884,38.006230529595065,11.0,Neutro
CELOUSDT,480,18551772.7,13547.9,"['Martillo_Inv', 'Cuerpo_Lleno', 'N/A']",120,6,95.0,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 16)]",0,1,0,0,16,0.3021,0.3184,0.3044,6.87,2.99,3.8764783180026208,96,89,2025-09-19 15:14:59.999,0.3019,2025-09-19 12:59:59.999,0.3055,Bajista,51,Bajista,51,69.44444444444467,56.69515669515662,2.0,Neutro
RIFUSDT,481,35526777.0,0.0,"['N/A', 'Cuerpo_Lleno', 'Plana']",67,0,100.0,[],0,0,0,0,29,0.0619,0.0635,0.0626,2.56,5.59,3.0351437699680712,58,53,2025-09-19 15:14:59.999,0.0622,2025-09-19 15:44:59.999,0.0627,Bajista,1,Alcista,5,79.99999999999973,69.99999999999943,3.0,Neutro
TRUUSDT,481,191362190.0,0.0,"['N/A', 'Plana', 'Plana']",71,1,98.59,"[('Bajista', 356)]",0,0,0,0,29,0.0314,0.0331,0.0321,5.61,9.03,3.4267912772585474,52,49,2025-09-19 15:14:59.999,0.0317,2025-09-19 15:44:59.999,0.0322,Bajista,52,Alcista,5,79.99999999999945,79.99999999999945,11.0,Neutro
CKBUSDT,481,1417415738.0,0.0,"['N/A', 'N/A', 'Plana']",104,6,94.23,"[('Alcista', 19), ('Alcista', 73), ('Alcista', 74)]",0,0,0,0,29,0.004987,0.005142,0.00502,9.96,0.66,9.302788844621505,100,109,2025-09-19 15:59:59.999,0.005015,2025-09-19 15:44:59.999,0.005025,Bajista,75,Bajista,22,60.869565217391795,60.718599033816865,9.0,Neutro
TWTUSDT,481,118013001.0,2400.0,"['N/A', 'N/A', 'N/A']",125,10,92.0,"[('Alcista', 0), ('Bajista', 10), ('Bajista', 39)]",0,0,0,0,57,1.0458,1.2491,1.1663,14.04,34.53,20.49215467718424,105,98,2025-09-19 15:59:59.999,1.1637,2025-09-19 15:44:59.999,1.198,Alcista,193,Bajista,2,31.931166347992225,40.53603243298364,6.0,Neutro
SFPUSDT,481,9992295.0,0.0,"['N/A', 'N/A', 'Plana']",140,5,96.43,"[('Alcista', 20), ('Alcista', 29), ('Bajista', 140)]",0,0,0,0,17,0.4658,0.498,0.4684,10.8,3.84,6.959863364645619,96,98,2025-09-19 15:14:59.999,0.4668,2025-09-19 15:44:59.999,0.4696,Bajista,23,Bajista,31,43.2432432432432,48.928545270008975,13.0,Neutro
DODOUSDT,481,58118552.7,0.0,"['N/A', 'Cuerpo_Lleno', 'Plana']",73,3,95.89,"[('Alcista', 19), ('Alcista', 28), ('Alcista', 29)]",0,0,0,0,17,0.0458,0.0481,0.0463,9.07,2.59,6.479481641468688,69,41,2025-09-19 15:14:59.999,0.0458,2025-09-19 14:59:59.999,0.0463,Bajista,52,Alcista,2,100.0,86.66666666666676,2.0,Sobre-compra
CAKEUSDT,481,29634455.259999998,78.43,"['N/A', 'N/A', 'Plana']",98,7,92.86,"[('Dentro', 0), ('Bajista', 1), ('Bajista', 2)]",0,0,0,0,29,2.645,2.745,2.69,3.79,9.74,5.947955390334577,88,86,2025-09-19 15:14:59.999,2.663,2025-09-19 15:59:59.999,2.691,Bajista,40,Alcista,4,96.77419354838742,97.69016328156135,3.0,Sobre-compra
ACMUSDT,481,4499217.199999999,0.0,"['N/A', 'N/A', 'Plana']",56,1,98.21,"[('Alcista', 452)]",0,0,0,0,45,0.902,0.923,0.907,4.19,2.54,1.6538037486218196,57,59,2025-09-19 15:44:59.999,0.905,2025-09-19 15:59:59.999,0.91,Bajista,6,Bajista,6,22.22222222222222,15.740740740740748,5.0,Sobre-venta-D
FISUSDT,481,76329779.0,19070.0,"['N/A', 'N/A', 'Cuerpo_Lleno']",87,6,93.1,"[('Alcista', 20), ('Alcista', 29), ('Alcista', 439)]",0,1,0,0,14,0.106,0.1122,0.1068,19.48,1.59,17.88389513108612,85,81,2025-09-19 15:59:59.999,0.1064,2025-09-19 11:59:59.999,0.108,Bajista,50,Bajista,31,64.28571428571456,50.0,4.0,Neutro
OMUSDT,481,194117795.5,78.2,"['N/A', 'N/A', 'Plana']",91,3,96.7,"[('Bajista', 1), ('Bajista', 2), ('Alcista', 74)]",0,0,0,0,29,0.2096,0.2158,0.2122,4.9,5.37,0.47125353440150874,92,85,2025-09-19 15:29:59.999,0.21,2025-09-19 15:59:59.999,0.2125,Bajista,52,Alcista,4,88.00000000000023,90.48484848484883,4.0,Sobre-compra
PONDUSDT,481,195654064.0,0.0,"['Estrella_Fug', 'N/A', 'Plana']",69,0,100.0,[],0,0,0,0,27,0.00837,0.00871,0.00842,4.16,2.26,1.900237529691195,27,41,2025-09-19 11:29:59.999,0.0084,2025-09-19 15:44:59.999,0.00843,Bajista,52,Alcista,2,75.0000000000011,58.33333333333371,4.0,Neutro
DEGOUSDT,481,2545045.81,0.0,"['N/A', 'N/A', 'Plana']",97,0,100.0,[],0,0,0,0,28,1.213,1.248,1.224,2.7,7.19,4.493464052287594,78,71,2025-09-19 15:59:59.999,1.223,2025-09-19 15:44:59.999,1.228,Bajista,31,Alcista,9,73.33333333333314,80.0000000000001,5.0,Sobre-compra-D
ALICEUSDT,481,13876201.08,0.0,"['Cuerpo_Lleno', 'N/A', 'Plana']",122,8,93.44,"[('Bajista', 2), ('Alcista', 19), ('Alcista', 28)]",0,0,0,0,17,0.3567,0.3785,0.3606,8.54,2.94,5.601774819744884,101,92,2025-09-19 15:14:59.999,0.3587,2025-09-19 14:44:59.999,0.361,Bajista,52,Alcista,3,86.66666666666629,91.11111111111086,3.0,Sobre-compra
PERPUSDT,481,9926159.73,0.0,"['N/A', 'N/A', 'Plana']",133,2,98.5,"[('Alcista', 67), ('Bajista', 397)]",0,0,0,0,17,0.2577,0.2693,0.2609,5.14,3.79,1.3415101571483126,83,98,2025-09-19 15:14:59.999,0.2595,2025-09-19 15:44:59.999,0.2613,Bajista,46,Alcista,4,84.61538461538626,83.33333333333441,4.0,Sobre-compra
